Label "Eigenvector Centrality"
Browns 0.21153495400365865
Bills 0.7264676661415492
Patriots 0.7352512565455359
Falcons 0.5518643691181786
Oilers 0.33101005473470196
Chargers 0.589793620995065
Giants 0.5161857092112097
Ravens 0.31101239937559394
Dolphins 0.8893565348163905
Colts 0.7681989201091113
Cowboys 0.49367617161459054
Lions 0.625694359556801
Packers 1.0
Titans 0.4474159439620216
49ers 0.576756135860511
Seahawks 0.7281895028007368
Broncos 0.6734705218519423
Jaguars 0.5094810351571659
Steelers 0.9743436661779986
Panthers 0.5341513839802545
Chiefs 0.795461615254328
Texans 0.0
Jets 0.4725103410488275
Saints 0.39399413993729887
Buccaneers 0.5997214961416032
Vikings 0.9432052982749913
Eagles 0.8579782347048825
Bears 0.42761326586924037
Raiders 0.5186245811860576
Bengals 0.21153495400365865
Redskins 0.413338436071289
Cardinals 0.2067686402252427
Rams 0.4806913285685007
