Label "Eigenvector Centrality"
Browns 0.0
Bills 0.0
Patriots 0.23768158675950454
Falcons 0.0
Chargers 0.0
Giants 1.0
Ravens 0.0
Dolphins 0.0
Colts 0.027908892511464282
Cowboys 0.0
Lions 0.0
Packers 0.0
Titans 0.0
49ers 0.0
Seahawks 0.027908892511464282
Broncos 0.027908892511464282
Jaguars 1.0
Steelers 0.0
Panthers 0.23768158675950454
Chiefs 0.0
Texans 0.0
Jets 0.0
Saints 0.0
Buccaneers 1.0
Vikings 0.0
Eagles 0.0
Bears 1.0
Raiders 0.0
Bengals 0.027908892511464282
Redskins 0.23768158675950454
Cardinals 0.0
Rams 0.0
