Label "Eigenvector Centrality"
Packers 0.24548462639791596
Colts 0.8433193969286832
Vikings 0.41259436945942696
49ers 0.0
Titans 0.5422221557229496
Jets 0.8647680376453991
Broncos 0.0
Browns 0.0
Patriots 1.0
Cardinals 0.26675868267512054
Chiefs 0.5303186375313393
Redskins 0.13732611715326767
Eagles 0.5844013267335408
Saints 0.32761647122134463
Buccaneers 0.12195809917171423
roncos 0.0
Bengals 0.34772326329694664
Lions 0.0
Steelers 0.2763995524294916
Rams 0.0
Raiders 0.0
Dolphins 0.19116596240930928
Texans 0.0
Panthers 0.12352652722620179
Jaguars 0.4033966201663447
Cowboys 0.44524738175191003
Seahawks 0.3060986394082676
Ravens 0.46137141747905486
Bears 0.45496096046222056
Falcons 0.23933481256639258
Bills 0.0
Giants 0.268054429141331
Chargers 0.8733386258203159
