Winner	Score	Loser	Score	Goodness
Packers	42	Saints	34	68
Ravens	35	Steelers	7	14
Eagles	31	Rams	13	26
Lions	27	Buccaneers	20	40
Bears	30	Falcons	12	24
Bills	41	Chiefs	7	14
Jaguars	16	Titans	14	28
Texans	34	Colts	7	14
Bengals	27	Browns	17	34
Chargers	24	Vikings	17	34
49ers	33	Seahawks	17	34
Cardinals	28	Panthers	21	42
Redskins	28	Giants	14	28
Jets	27	Cowboys	24	48
Patriots	38	Dolphins	24	48
Raiders	23	Broncos	20	40
Lions	48	Chiefs	3	6
Bills	38	Raiders	35	70
Steelers	24	Seahawks	0	0
Saints	30	Bears	13	26
Packers	30	Panthers	23	46
Buccaneers	24	Vikings	20	40
Redskins	22	Cardinals	21	42
Titans	26	Ravens	13	26
Jets	32	Jaguars	3	6
Browns	27	Colts	19	38
Cowboys	27	49ers	24	48
Patriots	35	Chargers	21	42
Texans	23	Dolphins	13	26
Broncos	24	Bengals	22	44
Falcons	35	Eagles	31	62
Giants	28	Rams	16	32
Panthers	16	Jaguars	10	20
Saints	40	Texans	33	66
49ers	13	Bengals	8	16
Lions	26	Vikings	23	46
Giants	29	Eagles	16	32
Titans	17	Broncos	14	28
Browns	17	Dolphins	16	32
Bills	34	Patriots	31	62
Raiders	34	Jets	24	48
Ravens	37	Rams	7	14
Chargers	20	Chiefs	17	34
Buccaneers	16	Falcons	13	26
Seahawks	13	Cardinals	10	20
Packers	27	Bears	17	34
Steelers	23	Colts	20	40
Cowboys	18	Redskins	16	32
Bengals	23	Bills	20	40
Titans	31	Browns	13	26
Chiefs	22	Vikings	17	34
Saints	23	Jaguars	10	20
Redskins	17	Rams	10	20
Bears	34	Panthers	29	58
49ers	24	Eagles	23	46
Lions	34	Cowboys	30	60
Texans	17	Steelers	10	20
Falcons	30	Seahawks	28	56
Giants	31	Cardinals	27	54
Chargers	26	Dolphins	16	32
Patriots	31	Raiders	19	38
Packers	49	Broncos	23	46
